id,question_id,tag_id
2,1,2
3,0,3
4,1,4
5,1,5
6,1,6
7,0,7
8,0,8
9,0,9
10,1,10
11,1,11
12,1,12
13,0,13
14,0,14
15,0,15
16,0,16
17,1,17
18,0,18
19,0,19
20,0,20
21,0,21
22,0,22
23,0,23
24,1,24
25,0,25
26,1,26
27,0,27
28,0,28
29,0,29
30,0,30
31,0,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,0,38
39,1,39
40,1,40
41,0,41
42,0,42
43,0,43
44,0,44
45,1,45
46,0,46
47,0,47
48,0,48
49,1,49
50,0,50
51,1,51
52,0,52
53,0,53
54,1,54
55,1,55
56,0,56
57,1,57
58,0,58
59,0,59
60,1,60
61,0,61
62,0,62
63,0,63
64,1,64
65,1,65
66,1,66
67,0,67
68,0,68
69,1,69
70,1,70
71,0,71
72,0,72
73,1,73
74,1,74
75,0,75
76,0,76
77,1,77
78,1,78
79,1,79
80,0,80
81,1,81
82,0,82
83,0,83
84,1,84
85,0,85
86,0,86
87,1,87
88,1,88
89,0,89
90,1,90
91,1,91
92,1,92
93,0,93
94,0,94
95,0,95
96,0,96
97,0,97
98,1,98
99,0,99
100,1,100
101,1,101
102,0,102
103,1,103
104,0,104
105,0,105
106,1,106
107,0,107
108,0,108
109,0,109
110,1,110
111,0,111
112,0,112
113,1,113
114,1,114
115,0,115
116,1,116
117,0,117
118,1,118
119,1,119
120,1,120
121,0,121
122,0,122
123,0,123
124,0,124
125,0,125
126,1,126
127,0,127
128,1,128
129,0,129
130,1,130
131,0,131
132,1,132
133,0,133
134,0,134
135,1,135
136,0,136
137,0,137
138,0,138
139,1,139
140,0,140
141,0,141
142,1,142
143,0,143
144,1,144
145,0,145
146,0,146
147,1,147
148,0,148
149,0,149
150,0,150
151,1,151
152,0,152
153,1,153
154,1,154
155,1,155
156,0,156
157,1,157
158,1,158
159,0,159
160,1,160
161,1,161
